"filename", "language", "Makefile", "Markdown", "Java", "comment", "blank", "total"
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/Main.java", "Java", 0, 0, 55, 0, 8, 63
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/Prueba.java", "Java", 0, 0, 29, 3, 2, 34
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/README.md", "Markdown", 0, 11, 0, 0, 1, 12
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Elemento.java", "Java", 0, 0, 10, 0, 2, 12
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Estadisticas.java", "Java", 0, 0, 35, 0, 7, 42
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Materia.java", "Java", 0, 0, 11, 0, 4, 15
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Mejora.java", "Java", 0, 0, 39, 0, 6, 45
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/TipoStat.java", "Java", 0, 0, 6, 0, 2, 8
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Vulnerable.java", "Java", 0, 0, 4, 0, 2, 6
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/Enemigo.java", "Java", 0, 0, 37, 0, 8, 45
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/EnemigoSalvaje.java", "Java", 0, 0, 40, 0, 13, 53
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/EnemigoSimulador.java", "Java", 0, 0, 26, 0, 5, 31
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/Jugador.java", "Java", 0, 0, 259, 5, 47, 311
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/Sephiroth.java", "Java", 0, 0, 129, 0, 34, 163
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/makefile", "Makefile", 19, 0, 0, 0, 3, 22
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/Gongaga.java", "Java", 0, 0, 108, 0, 20, 128
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/NucleoPlaneta.java", "Java", 0, 0, 54, 0, 9, 63
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/Sector7.java", "Java", 0, 0, 102, 0, 17, 119
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/Zona.java", "Java", 0, 0, 195, 2, 35, 232
"Total", "-", 19, 11, 1139, 10, 225, 1404
